source,target,weight
7774,7793,2
7774,8092,2
7774,8185,2
7775,7793,2
7775,7992,2
7776,7893,2
7777,7893,2
7778,7893,2
7779,7893,2
7780,7894,2
7780,8030,2
7780,8039,2
7780,8046,2
7780,8082,2
7780,8088,2
7780,8092,2
7780,8094,2
7780,8147,2
7780,8149,2
7780,8281,2
7781,7793,2
7781,8185,2
7781,8198,2
7782,7793,2
7782,8148,2
7782,8185,2
7783,7793,2
7783,8030,2
7783,8039,2
7783,8046,2
7783,8082,2
7783,8088,2
7783,8092,2
7783,8094,2
7783,8147,2
7783,8149,2
7783,8281,2
7784,7793,2
7784,7992,2
7784,8015,2
7784,8041,2
7784,8148,2
7784,8185,2
7784,8250,2
7785,7793,2
7785,7992,2
7785,8092,2
7786,7894,2
7787,7801,2
7787,8166,2
7787,8225,2
7787,8270,2
7787,8281,2
7788,7894,2
7789,7894,2
7789,7987,2
7789,8028,2
7790,7894,2
7791,7894,2
7791,8247,2
7792,7896,2
7792,8024,2
7792,8061,2
7792,8121,2
7792,8197,2
7793,7984,2
7793,7989,2
7793,8000,2
7793,8008,2
7793,8011,2
7793,8015,2
7793,8024,2
7793,8026,2
7793,8030,2
7793,8031,2
7793,8038,2
7793,8039,2
7793,8047,2
7793,8049,2
7793,8056,2
7793,8067,2
7793,8070,2
7793,8073,2
7793,8083,2
7793,8100,2
7793,8103,2
7793,8105,2
7793,8107,2
7793,8109,2
7793,8119,2
7793,8122,2
7793,8131,2
7793,8142,2
7793,8144,2
7793,8147,2
7793,8167,2
7793,8168,2
7793,8176,2
7793,8182,2
7793,8184,2
7793,8188,2
7793,8202,2
7793,8206,2
7793,8226,2
7793,8237,2
7793,8245,2
7793,8253,2
7793,8256,2
7793,8257,2
7793,8262,2
7793,8266,2
7793,8275,2
7793,8276,2
7793,8277,2
7793,8282,2
7793,8285,2
7793,8288,2
7793,8291,2
7793,8294,2
7794,7895,2
7795,7851,2
7795,8178,2
7796,7851,2
7796,8018,2
7796,8057,2
7796,8109,2
7796,8123,2
7796,8138,2
7796,8162,2
7796,8205,2
7796,8281,2
7798,7912,2
7799,7907,2
7799,8136,2
7799,8144,2
7799,8194,2
7799,8195,2
7799,8215,2
7799,8234,2
7800,7983,2
7800,7985,2
7800,7988,2
7800,7998,2
7800,8002,2
7800,8011,2
7800,8012,2
7800,8015,2
7800,8016,2
7800,8025,2
7800,8029,2
7800,8035,2
7800,8038,2
7800,8040,2
7800,8044,2
7800,8053,2
7800,8059,2
7800,8062,2
7800,8066,2
7800,8068,2
7800,8084,2
7800,8098,2
7800,8100,2
7800,8103,2
7800,8107,2
7800,8113,2
7800,8121,2
7800,8127,2
7800,8137,2
7800,8140,2
7800,8144,2
7800,8147,2
7800,8156,2
7800,8158,2
7800,8159,2
7800,8167,2
7800,8168,2
7800,8169,2
7800,8171,2
7800,8177,2
7800,8179,2
7800,8180,2
7800,8181,2
7800,8184,2
7800,8190,2
7800,8191,2
7800,8199,2
7800,8205,2
7800,8208,2
7800,8214,2
7800,8216,2
7800,8226,2
7800,8227,2
7800,8228,2
7800,8238,2
7800,8241,2
7800,8246,2
7800,8247,2
7800,8257,2
7800,8265,2
7800,8280,2
7800,8282,2
7800,8292,2
7800,8296,2
7800,8298,2
7800,8299,2
7800,8301,2
7800,8302,2
7801,8166,2
7801,8187,2
7801,8225,2
7801,8270,2
7802,7908,2
7803,7908,2
7804,7913,2
7804,8054,2
7804,8165,2
7806,7910,2
7811,7910,2
7824,7912,2
7824,8197,2
7825,7912,2
7825,8197,2
7826,7912,2
7826,8197,2
7827,7912,2
7828,7913,2
7828,8061,2
7828,8076,2
7828,8165,2
7828,8305,2
7829,7913,2
7830,7906,2
7830,8167,2
7830,8245,2
7830,8261,2
7830,8289,2
7831,7906,2
7831,8261,2
7832,7905,2
7832,8255,2
7832,8301,2
7833,7905,2
7833,8301,2
7834,7905,2
7834,8087,2
7834,8255,2
7835,7905,2
7835,8255,2
7836,7905,2
7836,8233,2
7836,8255,2
7837,7851,2
7837,8043,2
7838,7851,2
7838,8043,2
7838,8185,2
7839,7851,2
7844,7895,2
7844,7990,2
7844,8024,2
7844,8112,2
7844,8192,2
7844,8215,2
7844,8216,2
7845,8024,2
7845,8085,2
7845,8297,2
7846,7906,2
7847,7913,2
7848,7906,2
7849,7909,2
7849,8138,2
7850,7909,2
7853,8000,2
7853,8043,2
7853,8048,2
7853,8123,2
7853,8128,2
7853,8134,2
7853,8167,2
7853,8229,2
7853,8255,2
7854,7897,2
7855,7909,2
7856,7915,2
7856,8286,2
7857,7917,2
7857,8008,2
7857,8210,2
7858,7991,2
7858,7997,2
7858,8006,2
7858,8008,2
7858,8018,2
7858,8021,2
7858,8022,2
7858,8030,2
7858,8033,2
7858,8037,2
7858,8042,2
7858,8048,2
7858,8064,2
7858,8065,2
7858,8067,2
7858,8085,2
7858,8095,2
7858,8105,2
7858,8106,2
7858,8118,2
7858,8138,2
7858,8143,2
7858,8151,2
7858,8163,2
7858,8167,2
7858,8185,2
7858,8186,2
7858,8187,2
7858,8202,2
7858,8205,2
7858,8206,2
7858,8210,2
7858,8212,2
7858,8220,2
7858,8221,2
7858,8227,2
7858,8244,2
7858,8251,2
7858,8253,2
7858,8271,2
7858,8272,2
7858,8284,2
7858,8286,2
7858,8287,2
7858,8298,2
7858,8304,2
7859,7997,2
7859,8002,2
7859,8016,2
7859,8032,2
7859,8048,2
7859,8051,2
7859,8059,2
7859,8109,2
7859,8121,2
7859,8143,2
7859,8158,2
7859,8172,2
7859,8176,2
7859,8187,2
7859,8191,2
7859,8220,2
7859,8243,2
7859,8281,2
7859,8283,2
7859,8286,2
7860,7909,2
7860,8138,2
7861,7909,2
7861,8138,2
7862,7909,2
7862,8138,2
7863,7909,2
7863,8013,2
7863,8123,2
7863,8192,2
7867,8107,2
7868,7872,2
7868,7989,2
7868,8027,2
7868,8132,2
7868,8215,2
7868,8253,2
7868,8257,2
7868,8261,2
7869,8140,2
7869,8215,2
7873,7884,2
7897,8003,2
7897,8015,2
7897,8025,2
7897,8028,2
7897,8043,2
7897,8081,2
