keyword,links,count
Father Bluteau,6838,1
Kikongo,"6838,6841",2
Kingston,"6876,6885,6857,6860,6879,6900,6868,6838,6839,6872,6874,6842,6843,6844,6847",15
Mass,"6838,6867,6868,6843",4
Igreja dos Caetanos,6838,1
Saturdays,6838,1
Africandescended,6838,1
Dorothea de Ataide,6838,1
Lagos,"6838,6844,6845",3
Porto,"6838,6900",2
East Indians,6838,1
Saint Benedict,"6838,6841",2
England,"6838,6900,6844,6867,6843,6875,6878",7
Trevor Burnard,"6854,6900,6838,6842,6847",5
Duke of Bragança,6838,1
Coimbra,6838,1
New York,"6871,6860,6861,6867,6868,6869,6838,6839,6874,6843,6875",11
Hidden Histories of African Lisbon James,6838,1
Blacks' Pit,6838,1
Englishmen,"6838,6844",2
Antônio da Costa,6838,1
Black Atlantic,"6838,6900,6844,6840,6839",5
Luís São Tomé,6838,1
Africans',"6838,6844",2
King João,6838,1
Luso Tropicalism,6838,1
Angolas,"6838,6842",2
Mosambique,6838,1
Guineare,6838,1
Spanish,"6881,6851,6859,6860,6861,6892,6895,6900,6869,6838,6907,6845",12
José Francisco Pereira,6838,1
Americas,"6838,6839,6841,6842,6843,6844,6845,6847,6860,6869,6872,6873,6881,6891,6892,6895,6898,6900,6902,6907",20
West Africans,"6838,6842",2
Italian,"6841,6843,6838,6907",4
Baye,6838,1
African Burial Ground,6838,1
Guines,6838,1
Moors,"6838,6902",2
Ouidah,"6838,6842,6844,6839",4
Giuseppe Marco Antonio Baretti,6838,1
Campo Pequeno,6838,1
Central Africans,"6838,6840",2
Folheto de Ambas Lisboas,6838,1
Portuguese Inquisition,6838,1
Ignácio Xavier Flores,6838,1
Chinese,6838,1
Monument,6838,1
Matt Childs,"6838,6841,6900,6842,6844,6845,6840,6847,6839",9
Luís de Lima,6838,1
Havana,"6860,6861,6872,6900,6869,6838,6839,6840,6841,6842,6873,6844,6845,6875,6847",15
Fridays,6838,1
Dom Afonso Manuel de Meneses,6838,1
Catholic Church,"6838,6841,6840,6847,6869",5
Saint Anthony,6838,1
American,"6840,6861,6838,6895",4
Azores,"6838,6878",2
Angolans,"6838,6842",2
Father Nzambi Mpungu,6838,1
Lisbon's Mocambo,6838,1
Portuguese Catholic,6838,1
Igreja do Salvador,6838,1
King of Portugal,6838,1
King Dom Manuel,6838,1
Europeans,"6881,6891,6892,6878,6894,6897,6900,6869,6838,6839,6872,6873,6902,6843,6844,6845,6875",17
As,"6838,6876,6839,6885",4
Juiz,6838,1
Lisbon's African,6838,1
Ganga,6838,1
Duarte Pio,6838,1
Preto,6838,1
Henrique de Lemos,6838,1
Rehearsal,6838,1
Luís Tavares Toscano,6838,1
Nossa Senhora de Guadalupe,6838,1
Cap Français,"6853,6854,6900,6838,6839,6840,6842,6844,6847",9
Valongo,6838,1
Tejo River,6838,1
Jews,"6838,6840,6839",3
Discoveries,6838,1
David Geggus,"6853,6854,6900,6838,6839,6840,6842,6843,6847",9
Brazilian Indian,6838,1
Negroes,"6838,6840,6867",3
Rua do Poço dos Negros,6838,1
Bahia,"6854,6866,6838,6839,6840,6841,6843,6844,6845",9
Rio Tejo,6838,1
Re Mina Zambaiampum,6838,1
African Catholicism,6838,1
Arabs,6838,1
Portuguese Atlantic World,6838,1
João Reis,"6838,6900,6844,6845,6840,6847,6839",7
Sebastião Telles,6838,1
José da Silva,6838,1
Nossa Senhora do Rosário,"6838,6847",2
João Francisco Pedroso,6838,1
Alabama,"6838,6842",2
Portuguese National Archives,6838,1
Roza,6838,1
But,"6838,6867,6869,6876,6878",5
God,"6838,6841,6844,6840,6847",5
Amerindians,6838,1
Rafael Bluteau,6838,1
Chapter Eleven Angolan Simão,6838,1
Angolan King Simão,6838,1
British,"6859,6891,6892,6900,6869,6838,6874,6876",8
